task,architecture,block,metric,delta
single_shape,bn2_w16_gmp,6087,prob_input_effect_mpp,0.0037764906883239746
single_shape,bn2_w16_gmp,6088,prob_input_effect_mpp,0.0013602674007415771
single_shape,bn2_w16_gmp,6089,prob_input_effect_mpp,0.0053986310958862305
single_shape,bn2_w16_gmp,6090,prob_input_effect_mpp,0.003901153802871704
single_shape,bn2_w16_gmp,6091,prob_input_effect_mpp,0.0013312697410583496
single_shape,bn2_w16_gmp,6092,prob_input_effect_mpp,0.002763420343399048
single_shape,bn2_w16_gmp,6093,prob_input_effect_mpp,0.0038046836853027344
single_shape,bn2_w16_gmp,6094,prob_input_effect_mpp,0.005500733852386475
single_shape,bn2_w16_gmp,6095,prob_input_effect_mpp,0.0029382407665252686
single_shape,bn2_w16_gmp,6096,prob_input_effect_mpp,0.0026318132877349854
single_shape,bn2_w16_gmp,6097,prob_input_effect_mpp,0.005077362060546875
single_shape,bn2_w16_gmp,6098,prob_input_effect_mpp,0.0016055107116699219
single_shape,bn2_w16_gmp,6099,prob_input_effect_mpp,0.0017221570014953613
single_shape,bn4_w16_gap,6000,prob_input_effect_mpp,0.0023140907287597656
single_shape,bn4_w16_gap,6001,prob_input_effect_mpp,0.0020031630992889404
single_shape,bn4_w16_gap,6002,prob_input_effect_mpp,0.003623783588409424
single_shape,bn4_w16_gap,6003,prob_input_effect_mpp,0.002055615186691284
single_shape,bn4_w16_gap,6004,prob_input_effect_mpp,0.0015468299388885498
single_shape,bn4_w16_gap,6005,prob_input_effect_mpp,0.0010475218296051025
single_shape,bn4_w16_gap,6006,prob_input_effect_mpp,0.001936107873916626
single_shape,bn4_w16_gap,6007,prob_input_effect_mpp,0.002226501703262329
single_shape,bn4_w16_gap,6008,prob_input_effect_mpp,0.00522807240486145
single_shape,bn4_w16_gap,6009,prob_input_effect_mpp,0.00395473837852478
single_shape,bn4_w16_gap,6010,prob_input_effect_mpp,0.003324568271636963
single_shape,bn4_w16_gap,6011,prob_input_effect_mpp,0.002382338047027588
single_shape,bn4_w16_gap,6012,prob_input_effect_mpp,0.0029482245445251465
single_shape,bn4_w16_gap,6013,prob_input_effect_mpp,0.005063772201538086
single_shape,bn4_w16_gap,6014,prob_input_effect_mpp,0.003295421600341797
single_shape,bn4_w16_gap,6015,prob_input_effect_mpp,0.0016039609909057617
single_shape,bn4_w16_gap,6016,prob_input_effect_mpp,0.003502488136291504
single_shape,bn4_w16_gap,6017,prob_input_effect_mpp,0.0018669962882995605
single_shape,bn4_w16_gap,6018,prob_input_effect_mpp,0.002871572971343994
single_shape,bn4_w16_gap,6019,prob_input_effect_mpp,0.0006432533264160156
single_shape,bn4_w16_gap,6020,prob_input_effect_mpp,0.0013045072555541992
single_shape,bn4_w16_gap,6021,prob_input_effect_mpp,0.002268582582473755
single_shape,bn4_w16_gap,6022,prob_input_effect_mpp,0.002005279064178467
single_shape,bn4_w16_gap,6023,prob_input_effect_mpp,0.0021663308143615723
single_shape,bn4_w16_gap,6024,prob_input_effect_mpp,0.001273125410079956
single_shape,bn4_w16_gap,6025,prob_input_effect_mpp,0.0020767152309417725
single_shape,bn4_w16_gap,6026,prob_input_effect_mpp,0.0021331608295440674
single_shape,bn4_w16_gap,6027,prob_input_effect_mpp,0.003294646739959717
single_shape,bn4_w16_gap,6028,prob_input_effect_mpp,0.001499950885772705
single_shape,bn4_w16_gap,6029,prob_input_effect_mpp,0.001471191644668579
single_shape,bn4_w16_gap,6030,prob_input_effect_mpp,0.005805224180221558
single_shape,bn4_w16_gap,6031,prob_input_effect_mpp,0.002104461193084717
single_shape,bn4_w16_gap,6032,prob_input_effect_mpp,0.0027210116386413574
single_shape,bn4_w16_gap,6033,prob_input_effect_mpp,0.0014240741729736328
single_shape,bn4_w16_gap,6034,prob_input_effect_mpp,0.0038588643074035645
single_shape,bn4_w16_gap,6035,prob_input_effect_mpp,0.0015020668506622314
single_shape,bn4_w16_gap,6036,prob_input_effect_mpp,0.0010959804058074951
single_shape,bn4_w16_gap,6037,prob_input_effect_mpp,0.0030111074447631836
single_shape,bn4_w16_gap,6038,prob_input_effect_mpp,0.001582026481628418
single_shape,bn4_w16_gap,6039,prob_input_effect_mpp,0.002366960048675537
single_shape,bn4_w16_gap,6040,prob_input_effect_mpp,0.007130533456802368
single_shape,bn4_w16_gap,6041,prob_input_effect_mpp,0.0036145448684692383
single_shape,bn4_w16_gap,6042,prob_input_effect_mpp,0.003117859363555908
single_shape,bn4_w16_gap,6043,prob_input_effect_mpp,0.002221435308456421
single_shape,bn4_w16_gap,6044,prob_input_effect_mpp,0.0010461211204528809
single_shape,bn4_w16_gap,6045,prob_input_effect_mpp,0.006494194269180298
single_shape,bn4_w16_gap,6046,prob_input_effect_mpp,0.0019396543502807617
single_shape,bn4_w16_gap,6047,prob_input_effect_mpp,0.00160139799118042
single_shape,bn4_w16_gap,6048,prob_input_effect_mpp,0.0028413236141204834
single_shape,bn4_w16_gap,6049,prob_input_effect_mpp,0.0020663440227508545
single_shape,bn4_w16_gap,6050,prob_input_effect_mpp,0.0026213526725769043
single_shape,bn4_w16_gap,6051,prob_input_effect_mpp,0.0014029443264007568
single_shape,bn4_w16_gap,6052,prob_input_effect_mpp,0.0021125376224517822
single_shape,bn4_w16_gap,6053,prob_input_effect_mpp,0.0027344822883605957
single_shape,bn4_w16_gap,6054,prob_input_effect_mpp,0.0034852027893066406
single_shape,bn4_w16_gap,6055,prob_input_effect_mpp,0.0015786588191986084
single_shape,bn4_w16_gap,6056,prob_input_effect_mpp,0.0017571449279785156
single_shape,bn4_w16_gap,6057,prob_input_effect_mpp,0.0018448233604431152
single_shape,bn4_w16_gap,6058,prob_input_effect_mpp,0.0037399232387542725
single_shape,bn4_w16_gap,6059,prob_input_effect_mpp,0.0020112991333007812
single_shape,bn4_w16_gap,6060,prob_input_effect_mpp,0.0030700862407684326
single_shape,bn4_w16_gap,6061,prob_input_effect_mpp,0.001346677541732788
single_shape,bn4_w16_gap,6062,prob_input_effect_mpp,0.0017482936382293701
single_shape,bn4_w16_gap,6063,prob_input_effect_mpp,0.002126634120941162
single_shape,bn4_w16_gap,6064,prob_input_effect_mpp,0.002424865961074829
single_shape,bn4_w16_gap,6065,prob_input_effect_mpp,0.0008352398872375488
single_shape,bn4_w16_gap,6066,prob_input_effect_mpp,0.002920180559158325
single_shape,bn4_w16_gap,6067,prob_input_effect_mpp,0.001801222562789917
single_shape,bn4_w16_gap,6068,prob_input_effect_mpp,0.04190954566001892
single_shape,bn4_w16_gap,6069,prob_input_effect_mpp,0.0027873218059539795
single_shape,bn4_w16_gap,6070,prob_input_effect_mpp,0.0029431581497192383
single_shape,bn4_w16_gap,6071,prob_input_effect_mpp,0.001618415117263794
single_shape,bn4_w16_gap,6072,prob_input_effect_mpp,0.0035419464111328125
single_shape,bn4_w16_gap,6073,prob_input_effect_mpp,0.002248048782348633
single_shape,bn4_w16_gap,6074,prob_input_effect_mpp,0.0020210742950439453
single_shape,bn4_w16_gap,6075,prob_input_effect_mpp,0.002707183361053467
single_shape,bn4_w16_gap,6076,prob_input_effect_mpp,0.00443229079246521
single_shape,bn4_w16_gap,6077,prob_input_effect_mpp,0.002919912338256836
single_shape,bn4_w16_gap,6078,prob_input_effect_mpp,0.0018062889575958252
single_shape,bn4_w16_gap,6079,prob_input_effect_mpp,0.0048857033252716064
single_shape,bn4_w16_gap,6080,prob_input_effect_mpp,0.0017774701118469238
single_shape,bn4_w16_gap,6081,prob_input_effect_mpp,0.003009110689163208
single_shape,bn4_w16_gap,6082,prob_input_effect_mpp,0.0009388327598571777
single_shape,bn4_w16_gap,6083,prob_input_effect_mpp,0.0024364590644836426
single_shape,bn4_w16_gap,6084,prob_input_effect_mpp,0.0016897022724151611
single_shape,bn4_w16_gap,6085,prob_input_effect_mpp,0.0011988580226898193
single_shape,bn4_w16_gap,6086,prob_input_effect_mpp,0.002227574586868286
single_shape,bn4_w16_gap,6087,prob_input_effect_mpp,0.0018460452556610107
single_shape,bn4_w16_gap,6088,prob_input_effect_mpp,0.0025769472122192383
single_shape,bn4_w16_gap,6089,prob_input_effect_mpp,0.0015529096126556396
single_shape,bn4_w16_gap,6090,prob_input_effect_mpp,0.000524371862411499
single_shape,bn4_w16_gap,6091,prob_input_effect_mpp,0.0030409693717956543
single_shape,bn4_w16_gap,6092,prob_input_effect_mpp,0.0013387203216552734
single_shape,bn4_w16_gap,6093,prob_input_effect_mpp,0.004944592714309692
single_shape,bn4_w16_gap,6094,prob_input_effect_mpp,0.0021290183067321777
single_shape,bn4_w16_gap,6095,prob_input_effect_mpp,0.0032292306423187256
single_shape,bn4_w16_gap,6096,prob_input_effect_mpp,0.002396702766418457
single_shape,bn4_w16_gap,6097,prob_input_effect_mpp,0.002829611301422119
single_shape,bn4_w16_gap,6098,prob_input_effect_mpp,0.0029481351375579834
single_shape,bn4_w16_gap,6099,prob_input_effect_mpp,0.0035484731197357178
single_shape,bn4_w16_gmp,6000,prob_input_effect_mpp,0.001477956771850586
single_shape,bn4_w16_gmp,6001,prob_input_effect_mpp,0.002166926860809326
single_shape,bn4_w16_gmp,6002,prob_input_effect_mpp,0.0007756650447845459
single_shape,bn4_w16_gmp,6003,prob_input_effect_mpp,-9.587407112121582e-05
single_shape,bn4_w16_gmp,6004,prob_input_effect_mpp,0.0006898343563079834
single_shape,bn4_w16_gmp,6005,prob_input_effect_mpp,-0.0003515183925628662
single_shape,bn4_w16_gmp,6006,prob_input_effect_mpp,2.5570392608642578e-05
single_shape,bn4_w16_gmp,6007,prob_input_effect_mpp,0.0002983510494232178
single_shape,bn4_w16_gmp,6008,prob_input_effect_mpp,0.0008750259876251221
single_shape,bn4_w16_gmp,6009,prob_input_effect_mpp,0.00025472044944763184
single_shape,bn4_w16_gmp,6010,prob_input_effect_mpp,0.00023064017295837402
single_shape,bn4_w16_gmp,6011,prob_input_effect_mpp,0.0004163384437561035
single_shape,bn4_w16_gmp,6012,prob_input_effect_mpp,0.0017912983894348145
single_shape,bn4_w16_gmp,6013,prob_input_effect_mpp,0.00031760334968566895
single_shape,bn4_w16_gmp,6014,prob_input_effect_mpp,1.3709068298339844e-06
single_shape,bn4_w16_gmp,6015,prob_input_effect_mpp,0.0010648667812347412
single_shape,bn4_w16_gmp,6016,prob_input_effect_mpp,0.000695347785949707
single_shape,bn4_w16_gmp,6017,prob_input_effect_mpp,0.00030812621116638184
single_shape,bn4_w16_gmp,6018,prob_input_effect_mpp,0.0005550384521484375
single_shape,bn4_w16_gmp,6019,prob_input_effect_mpp,0.00043210387229919434
single_shape,bn4_w16_gmp,6020,prob_input_effect_mpp,-0.0008038878440856934
single_shape,bn4_w16_gmp,6021,prob_input_effect_mpp,0.0006421506404876709
single_shape,bn4_w16_gmp,6022,prob_input_effect_mpp,-2.4497509002685547e-05
single_shape,bn4_w16_gmp,6023,prob_input_effect_mpp,0.00028255581855773926
single_shape,bn4_w16_gmp,6024,prob_input_effect_mpp,0.0007392764091491699
single_shape,bn4_w16_gmp,6025,prob_input_effect_mpp,0.00033402442932128906
single_shape,bn4_w16_gmp,6026,prob_input_effect_mpp,0.0005772113800048828
single_shape,bn4_w16_gmp,6027,prob_input_effect_mpp,0.0007279515266418457
single_shape,bn4_w16_gmp,6028,prob_input_effect_mpp,0.0002168118953704834
single_shape,bn4_w16_gmp,6029,prob_input_effect_mpp,0.0004195272922515869
single_shape,bn4_w16_gmp,6030,prob_input_effect_mpp,0.0006673634052276611
single_shape,bn4_w16_gmp,6031,prob_input_effect_mpp,0.0013445019721984863
single_shape,bn4_w16_gmp,6032,prob_input_effect_mpp,0.0004451870918273926
single_shape,bn4_w16_gmp,6033,prob_input_effect_mpp,0.0004203319549560547
single_shape,bn4_w16_gmp,6034,prob_input_effect_mpp,0.0009158849716186523
single_shape,bn4_w16_gmp,6035,prob_input_effect_mpp,0.0009150207042694092
single_shape,bn4_w16_gmp,6036,prob_input_effect_mpp,0.00018420815467834473
single_shape,bn4_w16_gmp,6037,prob_input_effect_mpp,0.0004577934741973877
single_shape,bn4_w16_gmp,6038,prob_input_effect_mpp,7.236003875732422e-05
single_shape,bn4_w16_gmp,6039,prob_input_effect_mpp,0.0004499852657318115
single_shape,bn4_w16_gmp,6040,prob_input_effect_mpp,0.0007311403751373291
single_shape,bn4_w16_gmp,6041,prob_input_effect_mpp,0.0001182258129119873
single_shape,bn4_w16_gmp,6042,prob_input_effect_mpp,-0.00030928850173950195
single_shape,bn4_w16_gmp,6043,prob_input_effect_mpp,0.0004988610744476318
single_shape,bn4_w16_gmp,6044,prob_input_effect_mpp,-0.000514686107635498
single_shape,bn4_w16_gmp,6045,prob_input_effect_mpp,0.0002843141555786133
single_shape,bn4_w16_gmp,6046,prob_input_effect_mpp,0.0006095170974731445
single_shape,bn4_w16_gmp,6047,prob_input_effect_mpp,0.0007666349411010742
