architecture,method,metric,block,B
TwoLayerCNN,validation_patch,prob_fidelity,4007,0.03717570324030295
TwoLayerCNN,validation_patch,prob_fidelity,4008,0.03892913665830583
TwoLayerCNN,validation_patch,prob_fidelity,4009,0.05960748448949116
TwoLayerCNN,validation_patch,prob_fidelity,4010,0.0846670132544739
TwoLayerCNN,validation_patch,prob_fidelity,4011,-0.003121556830994021
TwoLayerCNN,validation_patch,prob_fidelity,4012,0.009835850251445788
TwoLayerCNN,validation_patch,prob_fidelity,4013,-0.0019178693226948873
TwoLayerCNN,validation_patch,prob_fidelity,4014,-0.028033397890348033
TwoLayerCNN,validation_patch,prob_fidelity,4015,-0.041338840028386614
TwoLayerCNN,validation_patch,prob_fidelity,4016,-0.056064320920393707
TwoLayerCNN,validation_patch,prob_fidelity,4017,0.04531214338599748
TwoLayerCNN,validation_patch,prob_fidelity,4018,0.013293432091839863
TwoLayerCNN,validation_patch,prob_fidelity,4019,-0.01888412821256752
TinyCNN,contrast,raw_logit_fidelity,4000,0.31214089252015326
TinyCNN,contrast,raw_logit_fidelity,4001,0.23592242586073214
TinyCNN,contrast,raw_logit_fidelity,4002,0.12698685975413754
TinyCNN,contrast,raw_logit_fidelity,4003,0.3400967330937244
TinyCNN,contrast,raw_logit_fidelity,4004,0.07546133623081852
TinyCNN,contrast,raw_logit_fidelity,4005,0.185745802836913
TinyCNN,contrast,raw_logit_fidelity,4006,0.08125337164027041
TinyCNN,contrast,raw_logit_fidelity,4007,0.10644461607816996
TinyCNN,contrast,raw_logit_fidelity,4008,0.09200130900774284
TinyCNN,contrast,raw_logit_fidelity,4009,0.22412723161573578
TinyCNN,contrast,raw_logit_fidelity,4010,0.006930759310934009
TinyCNN,contrast,raw_logit_fidelity,4011,0.22972186616743828
TinyCNN,contrast,raw_logit_fidelity,4012,0.31442562686964676
TinyCNN,contrast,raw_logit_fidelity,4013,0.10312773383435064
TinyCNN,contrast,raw_logit_fidelity,4014,0.04331959728975765
TinyCNN,contrast,raw_logit_fidelity,4015,0.2734458427458347
TinyCNN,contrast,raw_logit_fidelity,4016,0.1907539392244535
TinyCNN,contrast,raw_logit_fidelity,4017,0.19315969930846644
TinyCNN,contrast,raw_logit_fidelity,4018,0.3981361270970015
TinyCNN,contrast,raw_logit_fidelity,4019,0.0580636537532101
TinyCNN,auroc,raw_logit_fidelity,4000,0.1540015328553126
TinyCNN,auroc,raw_logit_fidelity,4001,0.22827746069633287
TinyCNN,auroc,raw_logit_fidelity,4002,0.2405440264957064
TinyCNN,auroc,raw_logit_fidelity,4003,0.23053865355428232
TinyCNN,auroc,raw_logit_fidelity,4004,0.24853384014523672
TinyCNN,auroc,raw_logit_fidelity,4005,0.04065104394082941
TinyCNN,auroc,raw_logit_fidelity,4006,0.14870501749334758
TinyCNN,auroc,raw_logit_fidelity,4007,0.19123827765631202
TinyCNN,auroc,raw_logit_fidelity,4008,0.14464426318094525
TinyCNN,auroc,raw_logit_fidelity,4009,0.10149582683735914
TinyCNN,auroc,raw_logit_fidelity,4010,-0.012942107142720705
TinyCNN,auroc,raw_logit_fidelity,4011,0.22972186616743828
TinyCNN,auroc,raw_logit_fidelity,4012,0.31424330177118015
TinyCNN,auroc,raw_logit_fidelity,4013,0.09552737946374623
TinyCNN,auroc,raw_logit_fidelity,4014,-0.043897657491322295
TinyCNN,auroc,raw_logit_fidelity,4015,0.019505814221933926
TinyCNN,auroc,raw_logit_fidelity,4016,0.08303318393828285
TinyCNN,auroc,raw_logit_fidelity,4017,0.20363581771471073
TinyCNN,auroc,raw_logit_fidelity,4018,0.15563078225510318
TinyCNN,auroc,raw_logit_fidelity,4019,0.13595876562418713
TinyCNN,validation_patch,raw_logit_fidelity,4000,0.09709107058591776
