stage,task,architecture,block,condition,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
D,two_concepts,TinyCNN,4002,template_retention_1,200,contrast,2,True,0.7767838356245664,2.2413951361599516e-08,0.7767838580385178,0.7988485579577566,0.7968528931729696,0.23320089280605316,0.8115303665399551,4.572301864624023,18.158342361450195,4.643631458282471,18.21483564376831,0.607421875,0.623046875
D,two_concepts,TinyCNN,4002,template_retention_1,200,contrast,4,True,0.9473021422401595,8.460412259658767e-09,0.9473021507005718,0.9392733465694374,0.9386414976694742,0.05505509674549103,0.9896761626005173,1.3803560733795166,21.350288152694702,1.4025611877441406,21.45590591430664,0.9453125,0.9609375
D,two_concepts,TinyCNN,4002,template_retention_1,200,contrast,8,True,0.9949512891894421,1.1521683607185196e-09,0.9949512903416105,0.986487336084268,0.986101322070655,0.00527454586699605,1.0394567134790123,0.30715155601501465,22.423492670059204,0.31770244240760803,22.540764659643173,0.98046875,0.99609375
D,two_concepts,TinyCNN,4002,template_retention_1,200,auroc,1,True,0.533078593401979,7.803002533002257e-08,0.5330786714320044,0.6438941735968673,0.6444223416736062,0.48780736327171326,0.556923896074295,8.094513893127441,14.636130332946777,8.127960205078125,14.730506896972656,0.23046875,0.244140625
D,two_concepts,TinyCNN,4002,template_retention_1,200,auroc,2,True,0.7767838356245664,2.2413951361599516e-08,0.7767838580385178,0.7988485579577566,0.7968528931729696,0.23320089280605316,0.8115303665399551,4.572301864624023,18.158342361450195,4.643631458282471,18.21483564376831,0.607421875,0.623046875
D,two_concepts,TinyCNN,4002,template_retention_1,200,auroc,4,True,0.9414593945119948,9.793788002809833e-09,0.9414594043057828,0.9403165582454032,0.936650063165343,0.061159200966358185,0.9835720583796501,1.3566431999206543,21.374001026153564,1.4480823278427124,21.41038477420807,0.923828125,0.94140625
D,two_concepts,TinyCNN,4002,template_retention_1,200,auroc,8,True,0.9949512891894421,1.1521683607185196e-09,0.9949512903416105,0.986487336084268,0.986101322070655,0.00527454586699605,1.0394567134790123,0.30715155601501465,22.423492670059204,0.31770244240760803,22.540764659643173,0.98046875,0.99609375
D,two_concepts,TinyCNN,4002,template_retention_1,200,validation_patch,1,True,0.533078593401979,7.803002533002257e-08,0.5330786714320044,0.6438941735968673,0.6444223416736062,0.48780736327171326,0.556923896074295,8.094513893127441,14.636130332946777,8.127960205078125,14.730506896972656,0.23046875,0.244140625
D,two_concepts,TinyCNN,4002,template_retention_1,200,validation_patch,2,True,0.7767838356245664,2.2413951361599516e-08,0.7767838580385178,0.7988485579577566,0.7968528931729696,0.23320089280605316,0.8115303665399551,4.572301864624023,18.158342361450195,4.643631458282471,18.21483564376831,0.607421875,0.623046875
D,two_concepts,TinyCNN,4002,template_retention_1,200,validation_patch,4,True,0.9473021422401595,8.460412259658767e-09,0.9473021507005718,0.9392733465694374,0.9386414976694742,0.05505509674549103,0.9896761626005173,1.3803560733795166,21.350288152694702,1.4025611877441406,21.45590591430664,0.9453125,0.9609375
